thrid,emails,people,time duration,date,to,from
1523916904118507763,6,3,11,"Jan 20, 2016 22:47:23",['514e503006314971283eff6b54fb1066678b0288f843119b6b51256a'],4bcd7a2cbb4e8c2e9e88f920ab465252b8f8f71cccb6098f14466ee8
1523916904118507763,6,3,11,"Jan 21, 2016 09:22:46",['4bcd7a2cbb4e8c2e9e88f920ab465252b8f8f71cccb6098f14466ee8'],d86cb076f57cf18106979a63ad09308f105f9e161ecac937a3e9e8a7
1523916904118507763,6,3,11,"Jan 31, 2016 13:37:07",['4bcd7a2cbb4e8c2e9e88f920ab465252b8f8f71cccb6098f14466ee8'],4bcd7a2cbb4e8c2e9e88f920ab465252b8f8f71cccb6098f14466ee8
1523916904118507763,6,3,11,"Jan 31, 2016 19:42:10",['d86cb076f57cf18106979a63ad09308f105f9e161ecac937a3e9e8a7'],4bcd7a2cbb4e8c2e9e88f920ab465252b8f8f71cccb6098f14466ee8
1522926788930328123,3,2,12,"Jan 10, 2016 05:49:23",['76e4af1fdf6e2261db1c0044d3b24c4d062d43fee3fcc0ea4140527b'],001b223a6690d5f0e1e0ac74297149e6d566967c67e5e231f4946b1b
1522926788930328123,3,2,12,"Jan 20, 2016 23:53:28",['001b223a6690d5f0e1e0ac74297149e6d566967c67e5e231f4946b1b'],76e4af1fdf6e2261db1c0044d3b24c4d062d43fee3fcc0ea4140527b
1522926788930328123,3,2,12,"Jan 22, 2016 10:24:40",['76e4af1fdf6e2261db1c0044d3b24c4d062d43fee3fcc0ea4140527b'],001b223a6690d5f0e1e0ac74297149e6d566967c67e5e231f4946b1b
1523371507236941063,7,5,12,"Jan 14, 2016 19:37:52","['35fccd47621bde66d46b9748c911a6d316124275dfc1223dd76e18cb', '76e4af1fdf6e2261db1c0044d3b24c4d062d43fee3fcc0ea4140527b', '06cc2bec584bef2a064342b6aa9d063f87ba7f0eb34e37895749e839']",4ad1be07941cd9bd58b1d2dfedce5d3d2453d1c463eedb3012c53b8b
1523371507236941063,7,5,12,"Jan 14, 2016 15:29:13","['4ad1be07941cd9bd58b1d2dfedce5d3d2453d1c463eedb3012c53b8b', '76e4af1fdf6e2261db1c0044d3b24c4d062d43fee3fcc0ea4140527b', '06cc2bec584bef2a064342b6aa9d063f87ba7f0eb34e37895749e839']",35fccd47621bde66d46b9748c911a6d316124275dfc1223dd76e18cb
1523371507236941063,7,5,12,"Jan 21, 2016 20:46:58","['35fccd47621bde66d46b9748c911a6d316124275dfc1223dd76e18cb', '76e4af1fdf6e2261db1c0044d3b24c4d062d43fee3fcc0ea4140527b', '06cc2bec584bef2a064342b6aa9d063f87ba7f0eb34e37895749e839']",4ad1be07941cd9bd58b1d2dfedce5d3d2453d1c463eedb3012c53b8b
